model,n,accuracy,log_loss,brier,auc,top3_hit,top3_conf,weeks_swept,model_kind,n_features,features,step_feature
logistic/fwd,1954,0.6663,0.6108,0.2115,0.7234,0.8138,0.7956,0.5789,logistic,1,spread_line,+spread_line
logistic/fwd,1954,0.6658,0.6103,0.2112,0.7243,0.8138,0.7962,0.5855,logistic,2,spread_line|away_ppg_diff_std,+away_ppg_diff_std
logistic/fwd,1954,0.6643,0.6094,0.2109,0.7251,0.8092,0.7965,0.5789,logistic,3,spread_line|away_ppg_diff_std|total_line,+total_line
logistic/fwd,1954,0.6668,0.6092,0.2108,0.7254,0.8115,0.7965,0.5921,logistic,4,spread_line|away_ppg_diff_std|total_line|roll_margin_diff,+roll_margin_diff
logistic/fwd,1954,0.6663,0.6093,0.2109,0.7254,0.8115,0.796,0.5921,logistic,5,spread_line|away_ppg_diff_std|total_line|roll_margin_diff|away_roll_pf,+away_roll_pf
logistic/fwd,1954,0.6648,0.6094,0.2108,0.7258,0.8092,0.7959,0.5789,logistic,6,spread_line|away_ppg_diff_std|total_line|roll_margin_diff|away_roll_pf|elo_vs_spread,+elo_vs_spread
logistic/fwd,1954,0.6663,0.6095,0.2109,0.7256,0.8069,0.7952,0.5789,logistic,7,spread_line|away_ppg_diff_std|total_line|roll_margin_diff|away_roll_pf|elo_vs_spread|home_roll_total_vs_line,+home_roll_total_vs_line
logistic/fwd,1954,0.6653,0.6097,0.2109,0.7255,0.8023,0.7957,0.5658,logistic,8,spread_line|away_ppg_diff_std|total_line|roll_margin_diff|away_roll_pf|elo_vs_spread|home_roll_total_vs_line|elo_diff,+elo_diff
logistic/fwd,1954,0.6694,0.6098,0.211,0.7254,0.8023,0.7942,0.5658,logistic,9,spread_line|away_ppg_diff_std|total_line|roll_margin_diff|away_roll_pf|elo_vs_spread|home_roll_total_vs_line|elo_diff|market_home_prob,+market_home_prob
logistic/fwd,1954,0.6694,0.6099,0.211,0.7254,0.8,0.7946,0.5592,logistic,10,spread_line|away_ppg_diff_std|total_line|roll_margin_diff|away_roll_pf|elo_vs_spread|home_roll_total_vs_line|elo_diff|market_home_prob|elo_spread,+elo_spread
logistic/fwd,1954,0.6689,0.6099,0.211,0.7254,0.8,0.7947,0.5592,logistic,11,spread_line|away_ppg_diff_std|total_line|roll_margin_diff|away_roll_pf|elo_vs_spread|home_roll_total_vs_line|elo_diff|market_home_prob|elo_spread|elo_home_prob,+elo_home_prob
logistic/fwd,1954,0.6689,0.6101,0.2111,0.725,0.8023,0.795,0.5592,logistic,12,spread_line|away_ppg_diff_std|total_line|roll_margin_diff|away_roll_pf|elo_vs_spread|home_roll_total_vs_line|elo_diff|market_home_prob|elo_spread|elo_home_prob|home_roll_margin,+home_roll_margin
logistic/fwd,1954,0.6684,0.6101,0.2111,0.7253,0.8023,0.7952,0.5592,logistic,13,spread_line|away_ppg_diff_std|total_line|roll_margin_diff|away_roll_pf|elo_vs_spread|home_roll_total_vs_line|elo_diff|market_home_prob|elo_spread|elo_home_prob|home_roll_margin|away_roll_total_vs_line,+away_roll_total_vs_line
logistic/fwd,1954,0.6663,0.6105,0.2112,0.7248,0.8023,0.7946,0.5658,logistic,14,spread_line|away_ppg_diff_std|total_line|roll_margin_diff|away_roll_pf|elo_vs_spread|home_roll_total_vs_line|elo_diff|market_home_prob|elo_spread|elo_home_prob|home_roll_margin|away_roll_total_vs_line|travel_miles,+travel_miles
logistic/fwd,1954,0.6633,0.6112,0.2114,0.7246,0.8046,0.7957,0.5592,logistic,15,spread_line|away_ppg_diff_std|total_line|roll_margin_diff|away_roll_pf|elo_vs_spread|home_roll_total_vs_line|elo_diff|market_home_prob|elo_spread|elo_home_prob|home_roll_margin|away_roll_total_vs_line|travel_miles|market_vig,+market_vig
logistic/bwd,1954,0.6663,0.6105,0.2112,0.7248,0.8023,0.7946,0.5658,logistic,14,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|travel_miles|home_roll_total_vs_line|total_line|away_roll_total_vs_line,-market_vig
logistic/bwd,1954,0.6684,0.6101,0.2111,0.7253,0.8023,0.7952,0.5592,logistic,13,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|home_roll_total_vs_line|total_line|away_roll_total_vs_line,-travel_miles
logistic/bwd,1954,0.6668,0.61,0.2111,0.7253,0.8046,0.7961,0.5658,logistic,12,spread_line|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|home_roll_total_vs_line|total_line|away_roll_total_vs_line,-market_home_prob
logistic/bwd,1954,0.6658,0.6099,0.211,0.7253,0.8046,0.7962,0.5658,logistic,11,spread_line|elo_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|home_roll_total_vs_line|total_line|away_roll_total_vs_line,-roll_margin_diff
logistic/bwd,1954,0.6668,0.6099,0.211,0.7253,0.8046,0.7957,0.5658,logistic,10,spread_line|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|home_roll_total_vs_line|total_line|away_roll_total_vs_line,-elo_diff
logistic/bwd,1954,0.6668,0.6098,0.211,0.7252,0.8069,0.7947,0.5789,logistic,9,spread_line|elo_vs_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|home_roll_total_vs_line|total_line|away_roll_total_vs_line,-elo_spread
logistic/bwd,1954,0.6663,0.6097,0.2109,0.7253,0.8092,0.796,0.5789,logistic,8,spread_line|elo_vs_spread|away_roll_pf|home_roll_margin|away_ppg_diff_std|home_roll_total_vs_line|total_line|away_roll_total_vs_line,-elo_home_prob
logistic/bwd,1954,0.6673,0.6095,0.2109,0.725,0.8138,0.796,0.5855,logistic,7,spread_line|away_roll_pf|home_roll_margin|away_ppg_diff_std|home_roll_total_vs_line|total_line|away_roll_total_vs_line,-elo_vs_spread
logistic/bwd,1954,0.6663,0.6093,0.2109,0.7255,0.8069,0.7952,0.5724,logistic,6,spread_line|away_roll_pf|away_ppg_diff_std|home_roll_total_vs_line|total_line|away_roll_total_vs_line,-home_roll_margin
logistic/bwd,1954,0.6663,0.6092,0.2108,0.7256,0.8092,0.796,0.5789,logistic,5,spread_line|away_roll_pf|away_ppg_diff_std|total_line|away_roll_total_vs_line,-home_roll_total_vs_line
logistic/bwd,1954,0.6663,0.6094,0.2109,0.7252,0.8092,0.7958,0.5789,logistic,4,spread_line|away_roll_pf|away_ppg_diff_std|total_line,-away_roll_total_vs_line
logistic/bwd,1954,0.6643,0.6094,0.2109,0.7251,0.8092,0.7965,0.5789,logistic,3,spread_line|away_ppg_diff_std|total_line,-away_roll_pf
logistic/bwd,1954,0.6622,0.6103,0.2113,0.7242,0.8092,0.7955,0.5855,logistic,2,spread_line|total_line,-away_ppg_diff_std
logistic/bwd,1954,0.6663,0.6108,0.2115,0.7234,0.8138,0.7956,0.5789,logistic,1,spread_line,-total_line
lgbm/fwd,1954,0.6638,0.6176,0.2145,0.7144,0.777,0.7923,0.5197,lgbm,1,spread_line,+spread_line
lgbm/fwd,1954,0.6617,0.616,0.2136,0.7176,0.7977,0.7886,0.5526,lgbm,2,spread_line|total_line,+total_line
lgbm/fwd,1954,0.6622,0.6151,0.2134,0.7173,0.7862,0.7873,0.5263,lgbm,3,spread_line|total_line|away_ppg_diff_std,+away_ppg_diff_std
lgbm/fwd,1954,0.6617,0.615,0.2132,0.7189,0.7816,0.7871,0.5132,lgbm,4,spread_line|total_line|away_ppg_diff_std|away_roll_total_vs_line,+away_roll_total_vs_line
lgbm/fwd,1954,0.6602,0.6144,0.2129,0.7192,0.7931,0.7818,0.5461,lgbm,5,spread_line|total_line|away_ppg_diff_std|away_roll_total_vs_line|market_home_prob,+market_home_prob
lgbm/fwd,1954,0.6586,0.6149,0.2132,0.7186,0.7747,0.786,0.5,lgbm,6,spread_line|total_line|away_ppg_diff_std|away_roll_total_vs_line|market_home_prob|home_roll_margin,+home_roll_margin
lgbm/fwd,1954,0.6668,0.6154,0.2133,0.7189,0.7724,0.7815,0.5066,lgbm,7,spread_line|total_line|away_ppg_diff_std|away_roll_total_vs_line|market_home_prob|home_roll_margin|away_roll_pf,+away_roll_pf
lgbm/fwd,1954,0.6612,0.6175,0.2142,0.7161,0.7747,0.7812,0.5132,lgbm,8,spread_line|total_line|away_ppg_diff_std|away_roll_total_vs_line|market_home_prob|home_roll_margin|away_roll_pf|roll_margin_diff,+roll_margin_diff
lgbm/fwd,1954,0.6592,0.6171,0.2141,0.7163,0.7793,0.7825,0.5329,lgbm,9,spread_line|total_line|away_ppg_diff_std|away_roll_total_vs_line|market_home_prob|home_roll_margin|away_roll_pf|roll_margin_diff|elo_vs_spread,+elo_vs_spread
