League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-01-11 04:26:26,2026-01-11 15:10,Orlando Magic,New Orleans Pelicans,No,534.1,No,-112.78,-107.0,-256.56,208.11,-110.5,-108.75,East,Southeast,West,Southwest,-110,-110,-255,205,-110,-110,-115,-105,-258,210,-112,-108,-111,-101,-248,210,-107,-107,-115,-105,-250,207,-110,-110,-115,-105,-250,210,-110,-110,-110,-110,-260,215,-110,-110,-114,-112,-275,210,,,-110,-110,-263,206,-110,-110,-115,-105,-250,200,-115,-105
NBA,2026-01-11 04:26:26,2026-01-11 15:40,Memphis Grizzlies,Brooklyn Nets,No,956.1,No,-111.22,-108.33,-270.33,220.11,-109.62,-109.62,West,Southwest,East,Atlantic,-110,-110,-255,210,-110,-110,-105,-115,-265,215,-110,-110,-111,-101,-267,225,-107,-107,-115,-105,-270,222,-110,-110,-115,-105,-270,225,-110,-110,-115,-105,-275,225,-110,-110,-115,-109,-286,220,,,-110,-110,-270,214,-110,-110,-105,-115,-275,225,-110,-110
NBA,2026-01-11 04:26:26,2026-01-11 18:10,Portland Trail Blazers,New York Knicks,No,2444.4,No,-107.78,-111.89,158.44,-188.67,-109.62,-109.62,West,Northwest,East,Atlantic,-106,-114,160,-190,-110,-110,-105,-115,160,-192,-110,-110,-101,-111,162,-185,-107,-107,-105,-115,161,-185,-110,-110,-110,-110,159,-185,-110,-110,-115,-105,170,-200,-110,-110,-113,-112,148,-186,,,-110,-110,151,-185,-110,-110,-105,-115,155,-190,-110,-110
NBA,2026-01-11 04:26:26,2026-01-11 18:10,Toronto Raptors,Philadelphia 76ers,Yes,337.5,No,-111.56,-108.22,147.89,-175.67,-109.62,-109.62,East,Atlantic,East,Atlantic,-106,-114,152,-180,-110,-110,-115,-105,150,-180,-110,-110,-111,-101,151,-171,-107,-107,-115,-105,150,-171,-110,-110,-115,-105,146,-170,-110,-110,-105,-115,150,-175,-110,-110,-112,-114,143,-180,,,-110,-110,144,-179,-110,-110,-115,-105,145,-175,-110,-110
NBA,2026-01-11 04:26:26,2026-01-11 19:10,Oklahoma City Thunder,Miami Heat,No,1226.0,Yes,-109.78,-110.0,-867.0,574.11,-108.5,-110.75,West,Northwest,East,Southeast,-105,-115,-800,560,-106,-114,-118,-102,-850,575,-105,-115,-106,-106,-834,603,-107,-107,-110,-110,-850,586,-110,-110,-110,-110,-850,580,-110,-110,-110,-110,-900,575,-110,-110,-114,-112,-910,550,,,-110,-110,-909,563,-110,-110,-105,-115,-900,575,-110,-110
NBA,2026-01-11 04:26:26,2026-01-11 19:10,Minnesota Timberwolves,San Antonio Spurs,No,1109.0,Yes,-108.89,-110.89,-143.22,120.56,-110.25,-109.0,West,Northwest,West,Southwest,-110,-110,-144,122,-110,-110,-115,-105,-142,120,-115,-105,-101,-111,-138,122,-107,-107,-105,-115,-140,120,-110,-110,-105,-115,-140,120,-110,-110,-110,-110,-145,125,-110,-110,-109,-117,-148,117,,,-110,-110,-147,119,-110,-110,-115,-105,-145,120,-110,-110
NBA,2026-01-11 04:26:26,2026-01-11 20:10,Denver Nuggets,Milwaukee Bucks,No,915.0,Yes,-111.33,-108.44,114.33,-135.78,-110.5,-108.75,West,Northwest,East,Central,-108,-112,114,-134,-112,-108,-115,-105,114,-135,-115,-105,-106,-106,122,-138,-107,-107,-110,-110,120,-140,-110,-110,-110,-110,120,-140,-110,-110,-115,-105,115,-135,-110,-110,-113,-113,106,-132,,,-110,-110,108,-133,-110,-110,-115,-105,110,-135,-110,-110
NBA,2026-01-11 04:26:26,2026-01-11 20:10,Phoenix Suns,Washington Wizards,No,1982.6,Yes,-109.44,-110.33,-888.11,586.67,-107.75,-111.62,West,Pacific,East,Southeast,-110,-110,-800,570,-110,-110,-105,-115,-850,575,-115,-105,-106,-106,-834,603,-102,-113,-110,-110,-850,586,-105,-115,-110,-110,-850,580,-105,-115,-115,-105,-1000,625,-110,-110,-114,-112,-1000,600,,,-110,-110,-909,566,-110,-110,-105,-115,-900,575,-105,-115
NBA,2026-01-11 04:26:26,2026-01-11 20:40,Golden State Warriors,Atlanta Hawks,No,2137.9,Yes,-107.11,-112.67,-223.78,184.56,-106.0,-113.38,West,Pacific,East,Southeast,-106,-114,-210,176,-106,-114,-102,-118,-218,180,-105,-115,-106,-106,-223,191,-102,-113,-110,-110,-225,189,-105,-115,-110,-110,-225,190,-105,-115,-105,-115,-230,190,-110,-110,-113,-113,-225,175,,,-110,-110,-233,185,-110,-110,-102,-118,-225,185,-105,-115
NBA,2026-01-11 04:26:26,2026-01-11 21:10,Sacramento Kings,Houston Rockets,No,1609.3,Yes,-109.0,-110.78,463.89,-643.89,-112.25,-107.12,West,Pacific,West,Southwest,-110,-110,460,-620,-110,-110,-112,-108,455,-625,-115,-105,-101,-111,462,-600,-113,-102,-105,-115,452,-610,-115,-105,-105,-115,500,-700,-115,-105,-115,-105,450,-650,-110,-110,-113,-113,480,-715,,,-110,-110,441,-625,-110,-110,-110,-110,475,-650,-110,-110
