League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-08 10:21:23,2025-11-08 19:10,Washington Wizards,Dallas Mavericks,No,1185.0,Yes,-110.0,-109.78,152.0,-180.89,-110.78,-109.33,East,Southeast,West,Southwest,-112.0,-108.0,154.0,-185.0,-115.0,-105.0,-110.0,-110.0,147.0,-182.0,-110.0,-110.0,-108.0,-112.0,144.0,-174.0,-106.0,-114.0,-114,-112,143,-177,-113,-113,-106.0,-106.0,158.0,-180.0,-113.0,-102.0,-110.0,-110.0,157.0,-180.0,-115.0,-105.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0,-110.0,-110.0,155.0,-190.0,-105.0,-115.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0
NBA,2025-11-08 10:21:23,2025-11-08 19:30,Philadelphia 76ers,Toronto Raptors,Yes,337.5,Yes,-108.89,-110.78,-201.78,168.33,-111.0,-109.0,East,Atlantic,East,Atlantic,-108.0,-112.0,-205.0,170.0,-112.0,-108.0,-110.0,-110.0,-213.0,170.0,-110.0,-110.0,-110.0,-110.0,-184.0,154.0,-112.0,-108.0,-112,-113,-195,155,-113,-113,-103.0,-109.0,-204.0,179.0,-107.0,-107.0,-107.0,-113.0,-205.0,177.0,-110.0,-110.0,-115.0,-105.0,-195.0,165.0,-115.0,-105.0,-105.0,-115.0,-210.0,170.0,-110.0,-110.0,-110.0,-110.0,-205.0,175.0,-110.0,-110.0
NBA,2025-11-08 10:21:23,2025-11-08 20:00,Atlanta Hawks,Los Angeles Lakers,No,1937.7,Yes,-109.12,-110.5,140.11,-166.0,-110.44,-109.33,East,Southeast,West,Pacific,-108.0,-112.0,140.0,-166.0,-110.0,-110.0,-110.0,-110.0,139.0,-172.0,-110.0,-110.0,-112.0,-108.0,136.0,-162.0,-108.0,-112.0,-117,-108,128,-159,-114,-110,-101.0,-111.0,146.0,-165.0,-107.0,-107.0,-105.0,-115.0,145.0,-165.0,-110.0,-110.0,-110.0,-110.0,145.0,-170.0,-110.0,-110.0,,,140.0,-170.0,-115.0,-105.0,-110.0,-110.0,142.0,-165.0,-110.0,-110.0
NBA,2025-11-08 10:21:23,2025-11-08 20:00,San Antonio Spurs,New Orleans Pelicans,Yes,503.7,Yes,-109.33,-110.44,-543.22,400.33,-110.11,-109.89,West,Southwest,West,Southwest,-112.0,-108.0,-550.0,410.0,-112.0,-108.0,-110.0,-110.0,-556.0,395.0,-110.0,-110.0,-114.0,-106.0,-500.0,385.0,-110.0,-110.0,-112,-114,-590,400,-112,-114,-101.0,-111.0,-518.0,408.0,-107.0,-107.0,-105.0,-115.0,-525.0,400.0,-110.0,-110.0,-105.0,-115.0,-575.0,400.0,-110.0,-110.0,-115.0,-105.0,-550.0,400.0,-110.0,-110.0,-110.0,-110.0,-525.0,405.0,-110.0,-110.0
NBA,2025-11-08 10:21:23,2025-11-08 20:10,Cleveland Cavaliers,Chicago Bulls,Yes,310.7,Yes,-110.89,-108.78,-355.22,279.44,-108.67,-111.22,East,Central,East,Central,-110.0,-110.0,-360.0,285.0,-112.0,-108.0,-110.0,-110.0,-357.0,270.0,-110.0,-110.0,-112.0,-108.0,-340.0,275.0,-110.0,-110.0,-115,-110,-360,270,-110,-115,-111.0,-101.0,-345.0,285.0,-104.0,-110.0,-115.0,-105.0,-350.0,280.0,-107.0,-113.0,-105.0,-115.0,-360.0,280.0,-110.0,-110.0,-110.0,-110.0,-375.0,290.0,-105.0,-115.0,-110.0,-110.0,-350.0,280.0,-110.0,-110.0
NBA,2025-11-08 10:21:23,2025-11-08 20:10,Miami Heat,Portland Trail Blazers,No,2707.3,Yes,-110.33,-109.33,135.89,-161.33,-110.44,-109.67,East,Southeast,West,Northwest,-110.0,-110.0,136.0,-162.0,-105.0,-115.0,-110.0,-110.0,130.0,-159.0,-110.0,-110.0,-108.0,-112.0,138.0,-164.0,-108.0,-112.0,-115,-110,130,-162,-113,-113,-108.0,-104.0,141.0,-160.0,-113.0,-102.0,-112.0,-108.0,140.0,-160.0,-115.0,-105.0,-110.0,-110.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,135.0,-165.0,-110.0,-110.0,-110.0,-110.0,138.0,-160.0,-110.0,-110.0
NBA,2025-11-08 10:21:23,2025-11-08 21:10,Denver Nuggets,Indiana Pacers,No,1002.0,Yes,-111.0,-108.78,-597.78,435.11,-109.44,-110.56,West,Northwest,East,Central,-110.0,-110.0,-600.0,440.0,-105.0,-115.0,-110.0,-110.0,-588.0,410.0,-110.0,-110.0,-114.0,-106.0,-600.0,450.0,-110.0,-110.0,-112,-114,-625,425,-113,-113,-107.0,-105.0,-567.0,440.0,-107.0,-107.0,-111.0,-109.0,-575.0,431.0,-110.0,-110.0,-110.0,-110.0,-625.0,430.0,-110.0,-110.0,-115.0,-105.0,-625.0,450.0,-110.0,-110.0,-110.0,-110.0,-575.0,440.0,-110.0,-110.0
NBA,2025-11-08 10:21:23,2025-11-08 22:30,Los Angeles Clippers,Phoenix Suns,Yes,362.6,Yes,-110.0,-109.71,-198.62,165.75,-110.11,-109.89,West,Pacific,West,Pacific,-105.0,-115.0,-205.0,170.0,-110.0,-110.0,-110.0,-110.0,-196.0,157.0,-110.0,-110.0,-112.0,-108.0,-198.0,166.0,-110.0,-110.0,-117,-109,-195,155,-114,-112,-106.0,-106.0,-195.0,171.0,-107.0,-107.0,-110.0,-110.0,-195.0,170.0,-110.0,-110.0,,,,,-110.0,-110.0,,,-210.0,170.0,-110.0,-110.0,-110.0,-110.0,-195.0,167.0,-110.0,-110.0
NBA,2025-11-08 10:21:23,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-08 10:21:23,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
