League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-12-02 13:39:41,2025-12-02 19:10,Philadelphia 76ers,Washington Wizards,No,120.7,Yes,-111.5,-109.12,-843.88,561.12,-110.62,-110.12,East,Atlantic,East,Southeast,-112,-108,-850,590,-110,-110,-110.0,-110.0,-841.0,533.0,-110.0,-110.0,-110,-110,-850,575,-108,-112,-115,-110,-835,540,-112,-114,-115.0,-105.0,-800.0,561.0,-110.0,-110.0,-110.0,-110.0,-900.0,575.0,-115.0,-105.0,-110.0,-110.0,-825.0,565.0,-110.0,-110.0,-110.0,-110.0,-850.0,550.0,-110.0,-110.0
NBA,2025-12-02 13:39:41,2025-12-02 19:40,Toronto Raptors,Portland Trail Blazers,No,2113.9,Yes,-109.75,-110.75,-218.38,179.25,-110.38,-110.38,East,Atlantic,West,Northwest,-110,-110,-205,172,-106,-114,-110.0,-110.0,-234.0,186.0,-110.0,-110.0,-110,-110,-218,180,-110,-110,-110,-114,-220,170,-112,-114,-113.0,-107.0,-220.0,186.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,-220.0,185.0,-115.0,-105.0,-105.0,-115.0,-210.0,175.0,-110.0,-110.0
NBA,2025-12-02 13:39:41,2025-12-02 20:10,Boston Celtics,New York Knicks,Yes,188.4,Yes,-85.38,-85.38,-109.5,-110.83,-111.75,-109.0,East,Atlantic,East,Atlantic,-114,-106,-102,-116,-110,-110,-110.0,-110.0,-110.0,-111.0,-110.0,-110.0,100,-120,-112,-108,-110,-110,-109,-117,-113,-110,-114,-112,-110.0,-110.0,,,-115.0,-105.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,,,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0
NBA,2025-12-02 13:39:41,2025-12-02 20:10,San Antonio Spurs,Memphis Grizzlies,Yes,628.7,Yes,-109.5,-111.0,-205.5,170.0,-110.25,-110.5,West,Southwest,West,Southwest,-108,-112,-200,168,-108,-112,-110.0,-110.0,-214.0,170.0,-110.0,-110.0,-108,-112,-205,170,-105,-115,-115,-109,-195,155,-114,-112,-105.0,-115.0,-205.0,177.0,-110.0,-110.0,-105.0,-115.0,-210.0,170.0,-115.0,-105.0,-110.0,-110.0,-205.0,175.0,-110.0,-110.0,-115.0,-105.0,-210.0,175.0,-110.0,-110.0
NBA,2025-12-02 13:39:41,2025-12-02 20:10,New Orleans Pelicans,Minnesota Timberwolves,No,1051.1,Yes,-108.75,-111.88,451.88,-627.25,-109.75,-111.0,West,Southwest,West,Northwest,-106,-114,490,-670,-106,-114,-110.0,-110.0,469.0,-673.0,-110.0,-110.0,-102,-118,455,-625,-108,-112,-115,-110,430,-625,-114,-112,-112.0,-108.0,446.0,-600.0,-110.0,-110.0,-105.0,-115.0,450.0,-625.0,-110.0,-110.0,-110.0,-110.0,450.0,-600.0,-110.0,-110.0,-110.0,-110.0,425.0,-600.0,-110.0,-110.0
NBA,2025-12-02 13:39:41,2025-12-02 23:10,Golden State Warriors,Oklahoma City Thunder,No,1387.6,Yes,-111.38,-109.38,442.5,-615.0,-111.88,-108.75,West,Pacific,West,Northwest,-108,-112,440,-590,-110,-110,-110.0,-110.0,431.0,-625.0,-110.0,-110.0,-105,-115,440,-600,-110,-110,-113,-113,450,-670,-115,-110,-115.0,-105.0,449.0,-605.0,-115.0,-105.0,-110.0,-110.0,450.0,-625.0,-110.0,-110.0,-115.0,-105.0,455.0,-605.0,-115.0,-105.0,-115.0,-105.0,425.0,-600.0,-110.0,-110.0
NBA,2025-12-02 13:39:41,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-109.67,-111.67,-210.0,172.0,-111.0,-111.0,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,,,,,,,-105,-115,-205,170,-110,-110,-110,-114,-215,170,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 13:39:41,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,114.0,-136.33,-111.33,-110.67,East,Atlantic,East,Atlantic,-110,-110,120,-142,-110,-110,,,,,,,-115,-105,110,-130,-110,-110,-113,-113,112,-137,-114,-112,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 13:39:41,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-111.0,-111.0,-966.67,621.67,-112.67,-109.33,West,Northwest,West,Pacific,-110,-110,-950,640,-110,-110,,,,,,,-110,-110,-950,625,-115,-105,-113,-113,-1000,600,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 13:39:41,2025-12-10 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-111.0,-111.0,-180.67,149.0,-111.0,-111.0,West,Pacific,West,Southwest,-110,-110,-180,152,-110,-110,,,,,,,-110,-110,-180,150,-110,-110,-113,-113,-182,145,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,
