League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-08 04:21:43,2025-11-08 19:10,Washington Wizards,Dallas Mavericks,No,1185.0,Yes,-110.43,-109.29,143.29,-170.71,-110.57,-109.43,East,Southeast,West,Southwest,-105.0,-115.0,150.0,-180.0,-115.0,-105.0,-110.0,-110.0,138.0,-171.0,-110.0,-110.0,-110.0,-110.0,136.0,-162.0,-108.0,-112.0,-117,-109,140,-177,-114,-112,-106.0,-106.0,150.0,-170.0,-107.0,-107.0,-110.0,-110.0,149.0,-170.0,-110.0,-110.0,-115.0,-105.0,140.0,-165.0,-110.0,-110.0,,,,,,,,,,,,
NBA,2025-11-08 04:21:43,2025-11-08 19:30,Philadelphia 76ers,Toronto Raptors,Yes,337.5,Yes,-108.78,-111.0,-190.38,159.5,-109.11,-110.89,East,Atlantic,East,Atlantic,-112.0,-108.0,-192.0,160.0,-108.0,-112.0,-110.0,-110.0,-196.0,158.0,-110.0,-110.0,-110.0,-110.0,-180.0,152.0,-110.0,-110.0,-113,-113,-195,155,-112,-114,-101.0,-111.0,-190.0,166.0,-107.0,-107.0,-105.0,-115.0,-190.0,165.0,-110.0,-110.0,-105.0,-115.0,-180.0,155.0,-110.0,-110.0,-118.0,-102.0,-200.0,165.0,-105.0,-115.0,-105.0,-115.0,,,-110.0,-110.0
NBA,2025-11-08 04:21:43,2025-11-08 20:00,Atlanta Hawks,Los Angeles Lakers,No,1937.7,Yes,-109.12,-110.38,130.75,-155.88,-110.33,-109.67,East,Southeast,West,Pacific,-115.0,-105.0,130.0,-155.0,-108.0,-112.0,-110.0,-110.0,130.0,-159.0,-110.0,-110.0,-112.0,-108.0,134.0,-158.0,-110.0,-110.0,-110,-114,125,-155,-113,-113,-101.0,-111.0,134.0,-152.0,-107.0,-107.0,-105.0,-115.0,133.0,-153.0,-110.0,-110.0,-115.0,-105.0,135.0,-160.0,-110.0,-110.0,,,125.0,-155.0,-115.0,-105.0,-105.0,-115.0,,,-110.0,-110.0
NBA,2025-11-08 04:21:43,2025-11-08 20:00,San Antonio Spurs,New Orleans Pelicans,Yes,503.7,Yes,-111.89,-107.89,-573.75,417.75,-108.78,-111.33,West,Southwest,West,Southwest,-108.0,-112.0,-575.0,425.0,-110.0,-110.0,-110.0,-110.0,-588.0,414.0,-110.0,-110.0,-110.0,-110.0,-520.0,400.0,-110.0,-110.0,-113,-113,-590,410,-112,-114,-111.0,-101.0,-542.0,423.0,-102.0,-113.0,-115.0,-105.0,-550.0,415.0,-105.0,-115.0,-115.0,-105.0,-625.0,430.0,-110.0,-110.0,-110.0,-110.0,-600.0,425.0,-115.0,-105.0,-115.0,-105.0,,,-105.0,-115.0
NBA,2025-11-08 04:21:43,2025-11-08 20:10,Cleveland Cavaliers,Chicago Bulls,Yes,310.7,Yes,-29.75,-114.88,-346.43,273.14,-108.75,-111.38,East,Central,East,Central,-105.0,-115.0,-345.0,275.0,-112.0,-108.0,-110.0,-110.0,-345.0,262.0,-110.0,-110.0,-112.0,-108.0,-335.0,270.0,-112.0,-108.0,-110,-115,-345,260,-114,-112,104.0,-116.0,-345.0,285.0,-102.0,-113.0,100.0,-120.0,-350.0,280.0,-105.0,-115.0,-105.0,-115.0,-360.0,280.0,-110.0,-110.0,,,,,,,100.0,-120.0,,,-105.0,-115.0
NBA,2025-11-08 04:21:43,2025-11-08 20:10,Miami Heat,Portland Trail Blazers,No,2707.3,Yes,-109.75,-110.0,128.14,-151.86,-112.12,-108.0,East,Southeast,West,Northwest,-118.0,-102.0,130.0,-155.0,-110.0,-110.0,-110.0,-110.0,119.0,-147.0,-110.0,-110.0,-112.0,-108.0,124.0,-146.0,-112.0,-108.0,-112,-114,123,-155,-112,-114,-101.0,-111.0,136.0,-155.0,-113.0,-102.0,-105.0,-115.0,135.0,-155.0,-115.0,-105.0,-115.0,-105.0,130.0,-150.0,-110.0,-110.0,,,,,,,-105.0,-115.0,,,-115.0,-105.0
NBA,2025-11-08 04:21:43,2025-11-08 21:10,Denver Nuggets,Indiana Pacers,No,1002.0,Yes,-112.25,-107.5,-607.71,438.86,-110.62,-109.38,West,Northwest,East,Central,-115.0,-105.0,-600.0,440.0,-110.0,-110.0,-110.0,-110.0,-667.0,456.0,-110.0,-110.0,-114.0,-106.0,-620.0,460.0,-114.0,-106.0,-113,-113,-625,420,-114,-112,-111.0,-101.0,-567.0,440.0,-107.0,-107.0,-115.0,-105.0,-575.0,431.0,-110.0,-110.0,-105.0,-115.0,-600.0,425.0,-110.0,-110.0,,,,,,,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-11-08 04:21:43,2025-11-08 22:30,Los Angeles Clippers,Phoenix Suns,Yes,362.6,Yes,-110.88,-108.88,-185.14,155.57,-110.38,-109.62,West,Pacific,West,Pacific,-112.0,-108.0,-185.0,154.0,-108.0,-112.0,-110.0,-110.0,-189.0,151.0,-110.0,-110.0,-112.0,-108.0,-188.0,158.0,-114.0,-106.0,-117,-109,-195,155,-114,-112,-106.0,-106.0,-177.0,156.0,-107.0,-107.0,-110.0,-110.0,-177.0,155.0,-110.0,-110.0,-110.0,-110.0,-185.0,160.0,-110.0,-110.0,,,,,,,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-08 04:21:43,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-08 04:21:43,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
