League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-11-05 07:51:24,2025-11-05 19:00,Indiana Pacers,Brooklyn Nets,No,646.8,Yes,-108.67,-111.0,-269.11,218.0,-110.44,-109.44,East,Central,East,Atlantic,-110.0,-110.0,-270.0,220.0,-115.0,-105.0,-110.0,-110.0,-270.0,212.0,-110.0,-110.0,-101.0,-111.0,-272.0,229.0,-113.0,-102.0,-105.0,-115.0,-275.0,226.0,-115.0,-105.0,-110.0,-110.0,-275.0,220.0,-105.0,-115.0,-112.0,-108.0,-275.0,225.0,-106.0,-114.0,-110.0,-110.0,-250.0,210.0,-110.0,-110.0,-110,-115,-265,200,-110,-114,-110.0,-110.0,-270.0,220.0,-110.0,-110.0
NBA,2025-11-05 07:51:24,2025-11-05 19:00,Detroit Pistons,Utah Jazz,No,1492.1,Yes,-109.56,-110.22,-485.0,367.44,-110.67,-109.11,East,Central,West,Northwest,-110.0,-110.0,-470.0,360.0,-115.0,-105.0,-110.0,-110.0,-500.0,367.0,-110.0,-110.0,-111.0,-101.0,-455.0,364.0,-107.0,-107.0,-115.0,-105.0,-460.0,358.0,-110.0,-110.0,-110.0,-110.0,-500.0,375.0,-110.0,-110.0,-106.0,-114.0,-500.0,385.0,-114.0,-106.0,-110.0,-110.0,-480.0,378.0,-110.0,-110.0,-109,-117,-500,360,-110,-114,-105.0,-115.0,-500.0,360.0,-110.0,-110.0
NBA,2025-11-05 07:51:24,2025-11-05 19:10,Cleveland Cavaliers,Philadelphia 76ers,No,359.4,Yes,-110.89,-108.67,-380.11,297.33,-111.33,-108.78,East,Central,East,Atlantic,-115.0,-105.0,-380.0,300.0,-108.0,-112.0,-110.0,-110.0,-400.0,304.0,-110.0,-110.0,-101.0,-111.0,-356.0,293.0,-113.0,-102.0,-105.0,-115.0,-360.0,289.0,-115.0,-105.0,-115.0,-105.0,-450.0,340.0,-110.0,-110.0,-112.0,-108.0,-360.0,290.0,-112.0,-108.0,-110.0,-110.0,-360.0,290.0,-110.0,-110.0,-115,-109,-385,285,-114,-112,-115.0,-105.0,-370.0,285.0,-110.0,-110.0
NBA,2025-11-05 07:51:24,2025-11-05 19:30,Boston Celtics,Washington Wizards,No,394.0,Yes,-112.67,-107.11,-606.33,441.0,-109.11,-110.67,East,Atlantic,East,Southeast,-115.0,-105.0,-575.0,425.0,-110.0,-110.0,-110.0,-110.0,-625.0,432.0,-110.0,-110.0,-111.0,-101.0,-572.0,443.0,-107.0,-107.0,-115.0,-105.0,-580.0,434.0,-110.0,-110.0,-115.0,-105.0,-625.0,450.0,-105.0,-115.0,-110.0,-110.0,-620.0,460.0,-110.0,-110.0,-110.0,-110.0,-585.0,445.0,-110.0,-110.0,-113,-113,-625,430,-110,-114,-115.0,-105.0,-650.0,450.0,-110.0,-110.0
NBA,2025-11-05 07:51:24,2025-11-05 19:30,New York Knicks,Minnesota Timberwolves,No,1018.9,Yes,-108.44,-111.22,-183.56,154.22,-109.56,-110.44,East,Atlantic,West,Northwest,-105.0,-115.0,-185.0,154.0,-110.0,-110.0,-110.0,-110.0,-192.0,155.0,-110.0,-110.0,-101.0,-111.0,-177.0,156.0,-107.0,-107.0,-105.0,-115.0,-177.0,155.0,-110.0,-110.0,-110.0,-110.0,-190.0,155.0,-105.0,-115.0,-110.0,-110.0,-176.0,148.0,-110.0,-110.0,-110.0,-110.0,-180.0,155.0,-110.0,-110.0,-115,-110,-195,155,-114,-112,-110.0,-110.0,-180.0,155.0,-110.0,-110.0
NBA,2025-11-05 07:51:24,2025-11-05 20:00,Memphis Grizzlies,Houston Rockets,Yes,483.7,Yes,-110.0,-109.78,243.67,-304.11,-110.11,-109.67,West,Southwest,West,Southwest,-110.0,-110.0,240.0,-298.0,-110.0,-110.0,-110.0,-110.0,235.0,-302.0,-110.0,-110.0,-106.0,-106.0,248.0,-297.0,-107.0,-107.0,-110.0,-110.0,245.0,-300.0,-110.0,-110.0,-110.0,-110.0,230.0,-295.0,-110.0,-110.0,-110.0,-110.0,250.0,-310.0,-110.0,-110.0,-110.0,-110.0,260.0,-320.0,-110.0,-110.0,-114,-112,235,-315,-114,-110,-110.0,-110.0,250.0,-300.0,-110.0,-110.0
NBA,2025-11-05 07:51:24,2025-11-05 20:40,Dallas Mavericks,New Orleans Pelicans,Yes,443.2,Yes,-108.56,-111.11,-289.89,235.0,-108.0,-111.78,West,Southwest,West,Southwest,-108.0,-112.0,-298.0,240.0,-105.0,-115.0,-110.0,-110.0,-294.0,231.0,-110.0,-110.0,-104.0,-108.0,-282.0,237.0,-107.0,-107.0,-108.0,-112.0,-285.0,234.0,-110.0,-110.0,-110.0,-110.0,-300.0,240.0,-105.0,-115.0,-114.0,-106.0,-275.0,225.0,-110.0,-110.0,-110.0,-110.0,-285.0,238.0,-110.0,-110.0,-108,-117,-315,245,-110,-114,-105.0,-115.0,-275.0,225.0,-105.0,-115.0
NBA,2025-11-05 07:51:24,2025-11-05 21:00,Denver Nuggets,Miami Heat,No,1726.7,Yes,-109.33,-110.44,-402.33,310.56,-109.33,-110.67,West,Northwest,East,Southeast,-110.0,-110.0,-395.0,310.0,-105.0,-115.0,-110.0,-110.0,-400.0,302.0,-110.0,-110.0,-106.0,-106.0,-386.0,315.0,-107.0,-107.0,-110.0,-110.0,-390.0,310.0,-110.0,-110.0,-110.0,-110.0,-450.0,333.0,-110.0,-110.0,-110.0,-110.0,-390.0,310.0,-110.0,-110.0,-110.0,-110.0,-400.0,320.0,-110.0,-110.0,-113,-113,-400,290,-112,-114,-105.0,-115.0,-410.0,305.0,-110.0,-110.0
NBA,2025-11-05 07:51:24,2025-11-05 22:00,Sacramento Kings,Golden State Warriors,Yes,74.0,Yes,-108.78,-111.0,-144.11,121.11,-110.67,-109.33,West,Pacific,West,Pacific,-102.0,-118.0,-142.0,120.0,-112.0,-108.0,-110.0,-110.0,-152.0,123.0,-110.0,-110.0,-106.0,-106.0,-138.0,122.0,-107.0,-107.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-105.0,-115.0,-145.0,120.0,-115.0,-105.0,-114.0,-106.0,-152.0,128.0,-110.0,-110.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-112,-114,-148,117,-112,-114,-110.0,-110.0,-140.0,120.0,-110.0,-110.0
NBA,2025-11-05 07:51:24,2025-11-05 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-111.62,-108.12,-138.33,116.22,-110.56,-109.44,West,Pacific,West,Southwest,-115.0,-105.0,-135.0,114.0,-110.0,-110.0,-110.0,-110.0,-139.0,114.0,-110.0,-110.0,-111.0,-101.0,-131.0,115.0,-109.0,-105.0,-115.0,-105.0,-133.0,113.0,-112.0,-108.0,,,-145.0,118.0,-110.0,-110.0,-108.0,-112.0,-144.0,122.0,-110.0,-110.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0,-109,-117,-143,115,-114,-112,-115.0,-105.0,-135.0,115.0,-110.0,-110.0
