League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-07 07:49:57,2025-11-07 19:10,Orlando Magic,Boston Celtics,No,1115.0,Yes,-109.78,-110.0,-156.67,132.22,-109.89,-110.22,East,Southeast,East,Atlantic,-106.0,-114.0,-154.0,130.0,-110.0,-110.0,-109,-117,-165,132,-112,-114,-112.0,-108.0,-155.0,130.0,-115.0,-105.0,-110.0,-110.0,-160.0,135.0,-110.0,-110.0,-115.0,-105.0,-153.0,133.0,-105.0,-115.0,-111.0,-101.0,-152.0,134.0,-102.0,-113.0,-110.0,-110.0,-156.0,127.0,-110.0,-110.0,-105.0,-115.0,-160.0,135.0,-115.0,-105.0,-110.0,-110.0,-155.0,134.0,-110.0,-110.0
NBA,2025-11-07 07:49:57,2025-11-07 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-107.44,-112.11,569.33,-855.44,-110.78,-109.33,East,Southeast,East,Central,-108.0,-112.0,590.0,-850.0,-106.0,-114.0,-110,-114,525,-835,-113,-113,-108.0,-112.0,575.0,-850.0,-110.0,-110.0,-110.0,-110.0,625.0,-1000.0,-110.0,-110.0,-105.0,-115.0,566.0,-810.0,-115.0,-105.0,-101.0,-111.0,581.0,-795.0,-113.0,-102.0,-110.0,-110.0,562.0,-909.0,-110.0,-110.0,-110.0,-110.0,550.0,-850.0,-110.0,-110.0,-105.0,-115.0,550.0,-800.0,-110.0,-110.0
NBA,2025-11-07 07:49:57,2025-11-07 19:40,Atlanta Hawks,Toronto Raptors,No,733.5,Yes,-112.44,-107.33,-125.56,104.89,-110.44,-109.56,East,Southeast,East,Atlantic,-112.0,-108.0,-126.0,108.0,-112.0,-108.0,-114,-112,-124,100,-112,-114,-115.0,-105.0,-122.0,102.0,-108.0,-112.0,-115.0,-105.0,-130.0,105.0,-115.0,-105.0,-115.0,-105.0,-125.0,105.0,-110.0,-110.0,-111.0,-101.0,-123.0,107.0,-107.0,-107.0,-110.0,-110.0,-125.0,102.0,-110.0,-110.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0
NBA,2025-11-07 07:49:57,2025-11-07 19:40,Brooklyn Nets,Detroit Pistons,No,484.4,Yes,-110.22,-109.33,365.0,-484.44,-111.78,-108.22,East,Atlantic,East,Central,-110.0,-110.0,370.0,-480.0,-110.0,-110.0,-109,-115,340,-480,-113,-112,-112.0,-108.0,370.0,-485.0,-110.0,-110.0,-110.0,-110.0,375.0,-500.0,-110.0,-110.0,-115.0,-105.0,361.0,-465.0,-115.0,-105.0,-111.0,-101.0,367.0,-459.0,-113.0,-102.0,-110.0,-110.0,347.0,-476.0,-110.0,-110.0,-105.0,-115.0,390.0,-550.0,-115.0,-105.0,-110.0,-110.0,365.0,-465.0,-110.0,-110.0
NBA,2025-11-07 07:49:57,2025-11-07 19:40,San Antonio Spurs,Houston Rockets,Yes,186.5,Yes,-110.56,-109.22,127.44,-151.78,-111.67,-108.44,West,Southwest,West,Southwest,-106.0,-114.0,122.0,-144.0,-108.0,-112.0,-108,-118,120,-150,-114,-112,-115.0,-105.0,130.0,-155.0,-115.0,-105.0,-115.0,-105.0,125.0,-155.0,-110.0,-110.0,-110.0,-110.0,132.0,-152.0,-115.0,-105.0,-106.0,-106.0,133.0,-151.0,-113.0,-102.0,-110.0,-110.0,121.0,-149.0,-110.0,-110.0,-115.0,-105.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,129.0,-150.0,-110.0,-110.0
NBA,2025-11-07 07:49:57,2025-11-07 20:10,Miami Heat,Charlotte Hornets,Yes,651.7,Yes,-87.22,-110.33,-188.44,158.22,-110.22,-109.78,East,Southeast,East,Southeast,-110.0,-110.0,-200.0,168.0,-110.0,-110.0,-113,-113,-200,160,-113,-113,-112.0,-108.0,-185.0,154.0,-112.0,-108.0,-118.0,-102.0,-190.0,155.0,-110.0,-110.0,-103.0,-117.0,-180.0,157.0,-110.0,-110.0,101.0,-113.0,-180.0,158.0,-107.0,-107.0,-110.0,-110.0,-196.0,157.0,-110.0,-110.0,-110.0,-110.0,-185.0,160.0,-110.0,-110.0,-110.0,-110.0,-180.0,155.0,-110.0,-110.0
NBA,2025-11-07 07:49:57,2025-11-07 20:10,Milwaukee Bucks,Chicago Bulls,Yes,81.3,Yes,-107.78,-111.89,-172.89,145.44,-109.11,-110.78,East,Central,East,Central,-112.0,-108.0,-172.0,144.0,-110.0,-110.0,-110,-115,-180,143,-110,-115,-102.0,-118.0,-175.0,145.0,-110.0,-110.0,-105.0,-115.0,-175.0,145.0,-105.0,-115.0,-110.0,-110.0,-165.0,145.0,-110.0,-110.0,-106.0,-106.0,-165.0,146.0,-107.0,-107.0,-110.0,-110.0,-179.0,145.0,-110.0,-110.0,-105.0,-115.0,-175.0,150.0,-110.0,-110.0,-110.0,-110.0,-170.0,146.0,-110.0,-110.0
NBA,2025-11-07 07:49:57,2025-11-07 20:10,Memphis Grizzlies,Dallas Mavericks,Yes,420.5,Yes,-109.67,-110.11,-179.33,150.56,-110.0,-109.89,West,Southwest,West,Southwest,-110.0,-110.0,-180.0,152.0,-112.0,-108.0,-113,-113,-182,145,-110,-114,-108.0,-112.0,-180.0,150.0,-105.0,-115.0,-110.0,-110.0,-185.0,150.0,-105.0,-115.0,-110.0,-110.0,-180.0,157.0,-115.0,-105.0,-106.0,-106.0,-180.0,158.0,-113.0,-102.0,-110.0,-110.0,-182.0,148.0,-110.0,-110.0,-110.0,-110.0,-170.0,145.0,-110.0,-110.0,-110.0,-110.0,-175.0,150.0,-110.0,-110.0
NBA,2025-11-07 07:49:57,2025-11-07 20:10,Minnesota Timberwolves,Utah Jazz,Yes,986.7,Yes,-110.67,-109.11,-587.56,428.89,-110.11,-109.89,West,Northwest,West,Northwest,-108.0,-112.0,-620.0,460.0,-110.0,-110.0,-112,-114,-670,440,-112,-114,-115.0,-105.0,-575.0,425.0,-112.0,-108.0,-115.0,-105.0,-625.0,450.0,-110.0,-110.0,-110.0,-110.0,-550.0,415.0,-110.0,-110.0,-106.0,-106.0,-542.0,423.0,-107.0,-107.0,-110.0,-110.0,-556.0,397.0,-110.0,-110.0,-110.0,-110.0,-600.0,425.0,-110.0,-110.0,-110.0,-110.0,-550.0,425.0,-110.0,-110.0
NBA,2025-11-07 07:49:57,2025-11-07 22:10,Denver Nuggets,Golden State Warriors,No,947.0,Yes,-110.56,-109.11,-446.11,340.33,-109.89,-110.11,West,Northwest,West,Pacific,-114.0,-106.0,-430.0,340.0,-110.0,-110.0,-110,-115,-530,370,-114,-112,-115.0,-105.0,-440.0,340.0,-108.0,-112.0,-115.0,-105.0,-450.0,340.0,-110.0,-110.0,-110.0,-110.0,-425.0,334.0,-110.0,-110.0,-106.0,-106.0,-420.0,340.0,-107.0,-107.0,-110.0,-110.0,-455.0,336.0,-110.0,-110.0,-105.0,-115.0,-440.0,330.0,-110.0,-110.0,-110.0,-110.0,-425.0,333.0,-110.0,-110.0
NBA,2025-11-07 07:49:57,2025-11-07 22:10,Sacramento Kings,Oklahoma City Thunder,No,1339.6,Yes,-110.78,-108.89,388.11,-522.67,-111.33,-86.44,West,Pacific,West,Northwest,-108.0,-112.0,370.0,-480.0,-110.0,-110.0,-110,-115,370,-530,-113,-113,-108.0,-112.0,400.0,-535.0,-112.0,-108.0,-110.0,-110.0,375.0,-500.0,-120.0,100.0,-115.0,-105.0,396.0,-520.0,-110.0,-110.0,-111.0,-101.0,404.0,-513.0,-107.0,-107.0,-110.0,-110.0,388.0,-556.0,-110.0,-110.0,-115.0,-105.0,390.0,-550.0,-110.0,-110.0,-110.0,-110.0,400.0,-520.0,-110.0,-110.0
NBA,2025-11-07 07:49:57,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 07:49:57,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,-114,-112,-195,150,-115,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 07:49:57,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,-117,-109,-220,175,-112,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
