League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-10 07:51:57,2025-11-10 19:00,Detroit Pistons,Washington Wizards,No,396.2,Yes,-111.44,-108.33,-639.11,460.0,-109.33,-110.67,East,Central,East,Southeast,-112.0,-108.0,-650.0,470.0,-105.0,-115.0,-109.0,-103.0,-640.0,487.0,-105.0,-109.0,-113.0,-107.0,-650.0,476.0,-108.0,-112.0,-110.0,-110.0,-667.0,457.0,-110.0,-110.0,-110.0,-110.0,-650.0,475.0,-110.0,-110.0,-110.0,-110.0,-620.0,460.0,-114.0,-106.0,-114,-112,-625,420,-112,-114,-115.0,-105.0,-625.0,430.0,-110.0,-110.0,-110.0,-110.0,-625.0,465.0,-110.0,-110.0
NBA,2025-11-10 07:51:57,2025-11-10 19:10,Charlotte Hornets,Los Angeles Lakers,No,2121.4,Yes,-110.0,-109.78,244.89,-303.67,-110.11,-109.89,East,Southeast,West,Pacific,-110.0,-110.0,240.0,-298.0,-110.0,-110.0,-106.0,-106.0,248.0,-297.0,-107.0,-107.0,-110.0,-110.0,245.0,-300.0,-110.0,-110.0,-110.0,-110.0,241.0,-313.0,-110.0,-110.0,-110.0,-110.0,240.0,-300.0,-115.0,-105.0,-106.0,-114.0,245.0,-300.0,-112.0,-108.0,-113,-113,240,-315,-112,-114,-115.0,-105.0,255.0,-310.0,-105.0,-115.0,-110.0,-110.0,250.0,-300.0,-110.0,-110.0
NBA,2025-11-10 07:51:57,2025-11-10 19:10,Orlando Magic,Portland Trail Blazers,No,2528.5,Yes,-83.11,-114.33,-133.0,111.56,-111.22,-108.78,East,Southeast,West,Northwest,-102.0,-118.0,-130.0,110.0,-115.0,-105.0,102.0,-114.0,-128.0,112.0,-107.0,-107.0,-102.0,-118.0,-130.0,110.0,-110.0,-110.0,-110.0,-110.0,-139.0,113.0,-110.0,-110.0,-105.0,-115.0,-135.0,110.0,-110.0,-110.0,-106.0,-114.0,-134.0,114.0,-112.0,-108.0,-110,-115,-136,110,-112,-114,-105.0,-115.0,-135.0,115.0,-115.0,-105.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0
NBA,2025-11-10 07:51:57,2025-11-10 19:30,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-108.33,-111.33,239.56,-295.33,-109.11,-110.89,East,Southeast,East,Central,-105.0,-115.0,240.0,-298.0,-105.0,-115.0,-101.0,-111.0,241.0,-287.0,-107.0,-107.0,-105.0,-115.0,237.0,-290.0,-110.0,-110.0,-110.0,-110.0,238.0,-303.0,-110.0,-110.0,-110.0,-110.0,240.0,-300.0,-105.0,-115.0,-114.0,-106.0,240.0,-295.0,-112.0,-108.0,-110,-115,230,-295,-113,-113,-110.0,-110.0,250.0,-300.0,-110.0,-110.0,-110.0,-110.0,240.0,-290.0,-110.0,-110.0
NBA,2025-11-10 07:51:57,2025-11-10 20:10,Chicago Bulls,San Antonio Spurs,No,1048.8,Yes,-110.22,-109.56,136.22,-161.89,-111.78,-85.89,East,Central,West,Southwest,-110.0,-110.0,136.0,-162.0,-105.0,-115.0,-104.0,-108.0,139.0,-158.0,-116.0,101.0,-110.0,-110.0,138.0,-158.0,-118.0,-102.0,-110.0,-110.0,136.0,-168.0,-110.0,-110.0,-110.0,-110.0,135.0,-165.0,-115.0,-105.0,-110.0,-110.0,136.0,-162.0,-112.0,-108.0,-113,-113,128,-159,-110,-114,-115.0,-105.0,140.0,-165.0,-110.0,-110.0,-110.0,-110.0,138.0,-160.0,-110.0,-110.0
NBA,2025-11-10 07:51:57,2025-11-10 20:30,Dallas Mavericks,Milwaukee Bucks,No,856.9,Yes,-108.22,-111.56,105.89,-126.0,-110.56,-109.44,West,Southwest,East,Central,-102.0,-118.0,105.0,-125.0,-115.0,-105.0,-104.0,-108.0,109.0,-125.0,-107.0,-107.0,-108.0,-112.0,107.0,-127.0,-110.0,-110.0,-110.0,-110.0,104.0,-127.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-112.0,-108.0,108.0,-126.0,-110.0,-110.0,-113,-113,105,-129,-113,-113,-105.0,-115.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2025-11-10 07:51:57,2025-11-10 21:00,Utah Jazz,Minnesota Timberwolves,Yes,986.7,Yes,-111.78,-108.0,239.22,-296.67,-111.11,-109.0,West,Northwest,West,Northwest,-112.0,-108.0,235.0,-290.0,-108.0,-112.0,-111.0,-101.0,245.0,-292.0,-113.0,-102.0,-115.0,-105.0,241.0,-295.0,-115.0,-105.0,-110.0,-110.0,237.0,-303.0,-110.0,-110.0,-115.0,-105.0,230.0,-295.0,-110.0,-110.0,-110.0,-110.0,240.0,-295.0,-110.0,-110.0,-113,-113,230,-305,-114,-112,-105.0,-115.0,250.0,-300.0,-110.0,-110.0,-115.0,-105.0,245.0,-295.0,-110.0,-110.0
NBA,2025-11-10 07:51:57,2025-11-10 21:10,Phoenix Suns,New Orleans Pelicans,No,1315.0,Yes,-109.22,-110.33,-315.56,253.56,-111.22,-108.67,West,Pacific,West,Southwest,-105.0,-115.0,-310.0,250.0,-115.0,-105.0,-108.0,-104.0,-307.0,256.0,-107.0,-107.0,-112.0,-108.0,-310.0,252.0,-110.0,-110.0,-110.0,-110.0,-323.0,249.0,-110.0,-110.0,-105.0,-115.0,-325.0,260.0,-115.0,-105.0,-114.0,-106.0,-300.0,245.0,-112.0,-108.0,-114,-110,-315,245,-112,-113,-105.0,-115.0,-340.0,270.0,-110.0,-110.0,-110.0,-110.0,-310.0,255.0,-110.0,-110.0
NBA,2025-11-10 07:51:57,2025-11-10 22:30,Los Angeles Clippers,Atlanta Hawks,No,1943.0,Yes,-112.33,-85.22,-180.11,151.11,-110.33,-109.44,West,Pacific,East,Southeast,-112.0,-108.0,-175.0,145.0,-112.0,-108.0,-114.0,102.0,-180.0,158.0,-107.0,-107.0,-118.0,-102.0,-180.0,157.0,-110.0,-110.0,-110.0,-110.0,-182.0,146.0,-110.0,-110.0,-115.0,-105.0,-185.0,150.0,-110.0,-110.0,-110.0,-110.0,-172.0,144.0,-110.0,-110.0,-112,-114,-182,145,-114,-110,-110.0,-110.0,-185.0,160.0,-110.0,-110.0,-110.0,-110.0,-180.0,155.0,-110.0,-110.0
NBA,2025-11-10 07:51:57,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,
