League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-01 05:21:50,2025-11-01 17:10,Milwaukee Bucks,Sacramento Kings,No,1775.2,No,-106.78,-113.0,-229.78,190.0,-108.78,-111.22,East,Central,West,Pacific,-106.0,-114.0,-215.0,180.0,-108.0,-112.0,-110.0,-110.0,-244.0,192.0,-110.0,-110.0,-110.0,-110.0,-230.0,190.0,-105.0,-115.0,-101.0,-111.0,-214.0,185.0,-107.0,-107.0,-105.0,-115.0,-215.0,183.0,-110.0,-110.0,-110.0,-110.0,-235.0,190.0,-105.0,-115.0,-109,-117,-245,195,-114,-112,-105.0,-115.0,-235.0,195.0,-110.0,-110.0,-105.0,-115.0,-235.0,200.0,-110.0,-110.0
NBA,2025-11-01 05:21:50,2025-11-01 18:10,Charlotte Hornets,Minnesota Timberwolves,No,939.7,No,-113.62,-81.0,177.67,-214.44,-109.78,-110.22,East,Southeast,West,Northwest,-114.0,-106.0,168.0,-200.0,-108.0,-112.0,,,172.0,-213.0,-110.0,-110.0,-115.0,-105.0,180.0,-218.0,-110.0,-110.0,-113.0,101.0,188.0,-219.0,-107.0,-107.0,-117.0,-103.0,186.0,-220.0,-110.0,-110.0,-115.0,-105.0,180.0,-220.0,-110.0,-110.0,-115,-110,170,-215,-113,-113,-105.0,-115.0,185.0,-225.0,-110.0,-110.0,-115.0,-105.0,170.0,-200.0,-110.0,-110.0
NBA,2025-11-01 05:21:50,2025-11-01 19:10,Indiana Pacers,Golden State Warriors,No,1948.2,Yes,-112.78,-107.0,371.67,-494.44,-108.44,-111.67,East,Central,West,Pacific,-106.0,-114.0,360.0,-460.0,-110.0,-110.0,-110.0,-110.0,390.0,-556.0,-110.0,-110.0,-115.0,-105.0,370.0,-485.0,-110.0,-110.0,-111.0,-101.0,381.0,-479.0,-102.0,-113.0,-115.0,-105.0,374.0,-485.0,-105.0,-115.0,-115.0,-105.0,375.0,-500.0,-110.0,-110.0,-113,-113,370,-530,-114,-112,-115.0,-105.0,345.0,-470.0,-105.0,-115.0,-115.0,-105.0,380.0,-485.0,-110.0,-110.0
NBA,2025-11-01 05:21:50,2025-11-01 19:10,Washington Wizards,Orlando Magic,Yes,756.6,Yes,-110.11,-109.67,274.78,-348.22,-109.67,-110.33,East,Southeast,East,Southeast,-110.0,-110.0,270.0,-335.0,-108.0,-112.0,-110.0,-110.0,270.0,-357.0,-110.0,-110.0,-112.0,-108.0,280.0,-355.0,-110.0,-110.0,-106.0,-106.0,282.0,-342.0,-107.0,-107.0,-110.0,-110.0,278.0,-345.0,-110.0,-110.0,-110.0,-110.0,275.0,-350.0,-105.0,-115.0,-113,-113,260,-345,-112,-114,-110.0,-110.0,280.0,-360.0,-115.0,-105.0,-110.0,-110.0,278.0,-345.0,-110.0,-110.0
NBA,2025-11-01 05:21:50,2025-11-01 20:10,Boston Celtics,Houston Rockets,No,1605.6,Yes,-108.44,-111.33,178.89,-217.11,-108.89,-111.11,East,Atlantic,West,Southwest,-106.0,-114.0,172.0,-205.0,-110.0,-110.0,-110.0,-110.0,174.0,-217.0,-110.0,-110.0,-105.0,-115.0,180.0,-218.0,-108.0,-112.0,-106.0,-106.0,188.0,-219.0,-103.0,-112.0,-110.0,-110.0,186.0,-220.0,-106.0,-114.0,-110.0,-110.0,170.0,-210.0,-110.0,-110.0,-114,-112,175,-225,-113,-112,-105.0,-115.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,185.0,-220.0,-110.0,-110.0
NBA,2025-11-01 05:21:50,2025-11-01 22:10,Detroit Pistons,Dallas Mavericks,No,999.7,Yes,-110.22,-109.56,-298.89,240.78,-110.11,-109.78,East,Central,West,Southwest,-112.0,-108.0,-270.0,220.0,-110.0,-110.0,-110.0,-110.0,-313.0,239.0,-110.0,-110.0,-115.0,-105.0,-305.0,245.0,-112.0,-108.0,-101.0,-111.0,-297.0,248.0,-107.0,-107.0,-105.0,-115.0,-300.0,245.0,-110.0,-110.0,-115.0,-105.0,-300.0,240.0,-110.0,-110.0,-114,-112,-305,230,-112,-113,-115.0,-105.0,-300.0,250.0,-110.0,-110.0,-105.0,-115.0,-300.0,250.0,-110.0,-110.0
NBA,2025-11-01 05:21:50,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,
NBA,2025-11-01 05:21:50,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-112.0,-113.0,-420.0,310.0,-112.0,-114.0,West,Northwest,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-112,-113,-420,310,-112,-114,,,,,,,,,,,,
NBA,2025-11-01 05:21:50,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-200,160,-114,-112,,,,,,,,,,,,
NBA,2025-11-01 05:21:50,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,-220,175,-112,-114,,,,,,,,,,,,
