League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-13 01:36:28,2025-12-13 17:30,Orlando Magic,New York Knicks,No,940.3,No,-110.62,-109.12,179.5,-215.62,-109.88,-110.12,East,Southeast,East,Atlantic,-110,-110,184,-220,-110,-110,-115,-105,180,-218,-110,-110,-114,-112,175,-225,-112,-114,-110.0,-110.0,170.0,-200.0,-110.0,-110.0,-106.0,-106.0,182.0,-209.0,-107.0,-107.0,-110.0,-110.0,180.0,-210.0,-110.0,-110.0,-110.0,-110.0,185.0,-233.0,-110.0,-110.0,-110.0,-110.0,180.0,-210.0,-110.0,-110.0
NBA,2025-12-13 01:36:28,2025-12-13 21:00,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,-109.38,-110.38,-450.5,343.88,-108.88,-111.12,West,Northwest,West,Southwest,-106,-114,-500,385,-106,-114,-115,-105,-440,340,-105,-115,-113,-113,-455,335,-113,-113,-105.0,-115.0,-470.0,345.0,-110.0,-110.0,-106.0,-106.0,-429.0,346.0,-107.0,-107.0,-110.0,-110.0,-435.0,340.0,-110.0,-110.0,-110.0,-110.0,-455.0,330.0,-110.0,-110.0,-110.0,-110.0,-420.0,330.0,-110.0,-110.0
NBA,2025-12-13 01:36:28,2025-12-14 15:10,Indiana Pacers,Washington Wizards,No,492.8,No,-109.33,-112.67,-378.33,295.0,-111.33,-110.0,East,Central,East,Southeast,-110,-110,-375,300,-114,-106,-105,-115,-375,295,-110,-110,-113,-113,-385,290,-110,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 01:36:28,2025-12-14 15:40,Cleveland Cavaliers,Charlotte Hornets,No,435.0,No,-111.0,-110.5,-525.25,387.0,-111.75,-109.5,East,Central,East,Southeast,-106,-114,-510,390,-112,-108,-115,-105,-535,400,-110,-110,-113,-113,-530,375,-115,-110,,,,,,,,,,,,,,,,,,,-110.0,-110.0,-526.0,383.0,-110.0,-110.0,,,,,,
NBA,2025-12-13 01:36:28,2025-12-14 18:10,Atlanta Hawks,Philadelphia 76ers,No,663.4,No,-112.75,-108.75,-159.75,131.75,-110.75,-110.75,East,Southeast,East,Atlantic,-112,-108,-158,134,-110,-110,-115,-105,-155,130,-110,-110,-114,-112,-159,128,-113,-113,,,,,,,,,,,,,,,,,,,-110.0,-110.0,-167.0,135.0,-110.0,-110.0,,,,,,
NBA,2025-12-13 01:36:28,2025-12-14 18:10,Brooklyn Nets,Milwaukee Bucks,No,736.6,No,-108.25,-113.25,105.25,-127.25,-110.75,-110.75,East,Atlantic,East,Central,-106,-114,110,-130,-110,-110,-108,-112,105,-125,-110,-110,-109,-117,104,-129,-113,-113,,,,,,,,,,,,,,,,,,,-110.0,-110.0,102.0,-125.0,-110.0,-110.0,,,,,,
NBA,2025-12-13 01:36:28,2025-12-14 19:10,Chicago Bulls,New Orleans Pelicans,No,833.6,Yes,-112.33,-109.67,-196.0,161.33,-111.33,-110.67,East,Central,West,Southwest,-114,-106,-190,160,-110,-110,-110,-110,-198,164,-112,-108,-113,-113,-200,160,-112,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 01:36:28,2025-12-14 19:10,Minnesota Timberwolves,Sacramento Kings,No,1514.6,Yes,-109.67,-112.33,-623.33,446.67,-111.33,-110.33,West,Northwest,West,Pacific,-106,-114,-600,450,-112,-108,-110,-110,-600,440,-110,-110,-113,-113,-670,450,-112,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 01:36:28,2025-12-14 20:10,Phoenix Suns,Los Angeles Lakers,Yes,359.1,Yes,-111.0,-111.0,112.67,-135.33,-112.33,-109.67,West,Pacific,West,Pacific,-110,-110,112,-132,-114,-106,-110,-110,114,-135,-110,-110,-113,-113,112,-139,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 01:36:28,2025-12-14 21:10,Portland Trail Blazers,Golden State Warriors,No,536.0,Yes,-110.33,-111.33,165.33,-202.33,-111.67,-110.33,West,Northwest,West,Pacific,-106,-114,176,-210,-112,-108,-110,-110,160,-192,-110,-110,-115,-110,160,-205,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
