League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-13 10:23:25,2025-12-13 17:30,Orlando Magic,New York Knicks,No,940.3,No,-112.11,-107.89,172.0,-205.89,-110.22,-109.67,East,Southeast,East,Atlantic,-118,-104,180,-215,-110,-110,-118,-102,170,-205,-105,-115,-115.0,-105.0,170.0,-210.0,-105.0,-115.0,-117,-109,170,-215,-114,-110,-105.0,-115.0,170.0,-200.0,-110.0,-110.0,-106.0,-106.0,175.0,-200.0,-113.0,-102.0,-110.0,-110.0,174.0,-200.0,-115.0,-105.0,-110.0,-110.0,172.0,-213.0,-110.0,-110.0,-110.0,-110.0,167.0,-195.0,-110.0,-110.0
NBA,2025-12-13 10:23:25,2025-12-13 21:00,Oklahoma City Thunder,San Antonio Spurs,No,419.4,Yes,-111.11,-108.67,-507.67,381.0,-109.44,-110.67,West,Northwest,West,Southwest,-114,-106,-520,400,-110,-110,-115,-105,-520,390,-105,-115,-118.0,-102.0,-500.0,375.0,-115.0,-105.0,-112,-114,-500,360,-113,-113,-115.0,-105.0,-500.0,360.0,-115.0,-105.0,-101.0,-111.0,-498.0,394.0,-102.0,-113.0,-105.0,-115.0,-505.0,386.0,-105.0,-115.0,-110.0,-110.0,-526.0,374.0,-110.0,-110.0,-110.0,-110.0,-500.0,390.0,-110.0,-110.0
NBA,2025-12-13 10:23:25,2025-12-14 15:10,Indiana Pacers,Washington Wizards,No,492.8,No,-109.33,-112.67,-368.33,288.33,-111.33,-110.0,East,Central,East,Southeast,-110,-110,-360,290,-114,-106,-105,-115,-360,285,-110,-110,,,,,,,-113,-113,-385,290,-110,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 10:23:25,2025-12-14 15:40,Cleveland Cavaliers,Charlotte Hornets,No,435.0,No,-109.67,-112.33,-501.67,375.0,-111.67,-110.0,East,Central,East,Southeast,-106,-114,-490,380,-110,-110,-110,-110,-485,370,-110,-110,,,,,,,-113,-113,-530,375,-115,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 10:23:25,2025-12-14 18:10,Atlanta Hawks,Philadelphia 76ers,No,663.4,No,-112.0,-110.0,-158.67,131.33,-111.0,-111.0,East,Southeast,East,Atlantic,-112,-108,-162,136,-110,-110,-110,-110,-155,130,-110,-110,,,,,,,-114,-112,-159,128,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 10:23:25,2025-12-14 18:10,Brooklyn Nets,Milwaukee Bucks,No,736.6,No,-107.67,-114.33,106.33,-128.0,-111.0,-111.0,East,Atlantic,East,Central,-106,-114,110,-130,-110,-110,-108,-112,105,-125,-110,-110,,,,,,,-109,-117,104,-129,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 10:23:25,2025-12-14 19:10,Chicago Bulls,New Orleans Pelicans,No,833.6,Yes,-111.0,-111.0,-194.0,160.0,-111.33,-110.67,East,Central,West,Southwest,-110,-110,-190,160,-110,-110,-110,-110,-192,160,-112,-108,,,,,,,-113,-113,-200,160,-112,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 10:23:25,2025-12-14 19:10,Minnesota Timberwolves,Sacramento Kings,No,1514.6,Yes,-109.67,-112.33,-606.67,433.33,-111.33,-110.33,West,Northwest,West,Pacific,-106,-114,-550,410,-112,-108,-110,-110,-600,440,-110,-110,,,,,,,-113,-113,-670,450,-112,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 10:23:25,2025-12-14 20:10,Phoenix Suns,Los Angeles Lakers,Yes,359.1,Yes,-111.0,-111.0,111.33,-133.67,-111.0,-111.0,West,Pacific,West,Pacific,-110,-110,112,-132,-110,-110,-110,-110,110,-130,-110,-110,,,,,,,-113,-113,112,-139,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-13 10:23:25,2025-12-14 21:10,Portland Trail Blazers,Golden State Warriors,No,536.0,Yes,-110.33,-111.33,169.33,-207.33,-111.67,-110.33,West,Northwest,West,Pacific,-106,-114,188,-225,-112,-108,-110,-110,160,-192,-110,-110,,,,,,,-115,-110,160,-205,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
