League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-11-09 01:32:50,2025-11-09 15:30,Milwaukee Bucks,Houston Rockets,No,1005.2,No,-111.22,-86.33,140.11,-166.56,-106.67,-113.22,East,Central,West,Southwest,-105.0,-115.0,145.0,-175.0,-105.0,-115.0,-113.0,101.0,141.0,-160.0,-102.0,-113.0,-117.0,-103.0,140.0,-160.0,-105.0,-115.0,-110.0,-110.0,144.0,-179.0,-110.0,-110.0,-112.0,-108.0,140.0,-166.0,-108.0,-112.0,-110.0,-110.0,145.0,-170.0,-110.0,-110.0,-105.0,-115.0,140.0,-170.0,-105.0,-115.0,-115.0,-105.0,138.0,-160.0,-105.0,-115.0,-114,-112,128,-159,-110,-114
NBA,2025-11-09 01:32:50,2025-11-09 18:00,New York Knicks,Brooklyn Nets,Yes,4.8,No,-108.78,-111.0,-1247.33,738.56,-108.22,-111.89,East,Atlantic,East,Atlantic,-110.0,-110.0,-1200.0,750.0,-105.0,-115.0,-106.0,-106.0,-1126.0,757.0,-102.0,-113.0,-110.0,-110.0,-1150.0,732.0,-105.0,-115.0,-110.0,-110.0,-1250.0,703.0,-110.0,-110.0,-106.0,-114.0,-1200.0,750.0,-110.0,-110.0,-105.0,-115.0,-1500.0,775.0,-110.0,-110.0,-110.0,-110.0,-1400.0,800.0,-115.0,-105.0,-110.0,-110.0,-1150.0,730.0,-105.0,-115.0,-112,-114,-1250,650,-112,-114
NBA,2025-11-09 01:32:50,2025-11-09 18:10,Orlando Magic,Boston Celtics,No,1115.0,No,-107.11,-112.67,-158.33,133.89,-110.0,-109.89,East,Southeast,East,Atlantic,-105.0,-115.0,-162.0,136.0,-110.0,-110.0,-101.0,-111.0,-160.0,141.0,-107.0,-107.0,-105.0,-115.0,-160.0,140.0,-110.0,-110.0,-110.0,-110.0,-156.0,127.0,-110.0,-110.0,-110.0,-110.0,-152.0,128.0,-108.0,-112.0,-110.0,-110.0,-165.0,140.0,-115.0,-105.0,-105.0,-115.0,-160.0,135.0,-110.0,-110.0,-105.0,-115.0,-160.0,138.0,-110.0,-110.0,-113,-113,-150,120,-110,-115
NBA,2025-11-09 01:32:50,2025-11-09 18:10,Memphis Grizzlies,Oklahoma City Thunder,No,422.4,No,-110.0,-109.78,391.0,-523.22,-108.89,-111.11,West,Southwest,West,Northwest,-108.0,-112.0,390.0,-520.0,-105.0,-115.0,-108.0,-104.0,408.0,-518.0,-107.0,-107.0,-112.0,-108.0,400.0,-525.0,-110.0,-110.0,-110.0,-110.0,381.0,-526.0,-110.0,-110.0,-108.0,-112.0,400.0,-520.0,-110.0,-110.0,-110.0,-110.0,375.0,-525.0,-110.0,-110.0,-110.0,-110.0,400.0,-550.0,-105.0,-115.0,-110.0,-110.0,405.0,-525.0,-110.0,-110.0,-114,-112,360,-500,-113,-113
NBA,2025-11-09 01:32:50,2025-11-09 19:30,Philadelphia 76ers,Detroit Pistons,No,444.3,Yes,-110.25,-109.5,133.88,-158.88,-110.0,-110.0,East,Atlantic,East,Central,-108.0,-112.0,136.0,-162.0,-110.0,-110.0,-106.0,-106.0,135.0,-153.0,-107.0,-107.0,-110.0,-110.0,134.0,-154.0,-110.0,-110.0,-110.0,-110.0,127.0,-156.0,-110.0,-110.0,-110.0,-110.0,136.0,-162.0,-110.0,-110.0,-115.0,-105.0,140.0,-165.0,-110.0,-110.0,-110.0,-110.0,135.0,-160.0,-110.0,-110.0,,,,,,,-113,-113,128,-159,-113,-113
NBA,2025-11-09 01:32:50,2025-11-09 20:40,Golden State Warriors,Indiana Pacers,No,1948.2,Yes,-111.11,-108.67,-733.0,510.56,-107.44,-112.67,West,Pacific,East,Central,-112.0,-108.0,-700.0,500.0,-108.0,-112.0,-106.0,-106.0,-713.0,533.0,-102.0,-113.0,-110.0,-110.0,-725.0,520.0,-105.0,-115.0,-110.0,-110.0,-714.0,487.0,-110.0,-110.0,-110.0,-110.0,-800.0,560.0,-110.0,-110.0,-115.0,-105.0,-700.0,475.0,-110.0,-110.0,-115.0,-105.0,-750.0,525.0,-105.0,-115.0,-110.0,-110.0,-725.0,515.0,-105.0,-115.0,-112,-114,-770,480,-112,-114
NBA,2025-11-09 01:32:50,2025-11-09 21:10,Sacramento Kings,Minnesota Timberwolves,No,1514.6,Yes,-110.0,-109.78,181.89,-219.89,-111.33,-108.67,West,Pacific,West,Northwest,-110.0,-110.0,180.0,-218.0,-112.0,-108.0,-106.0,-106.0,185.0,-214.0,-113.0,-102.0,-110.0,-110.0,183.0,-215.0,-115.0,-105.0,-110.0,-110.0,177.0,-222.0,-110.0,-110.0,-110.0,-110.0,184.0,-220.0,-112.0,-108.0,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,180.0,-220.0,-105.0,-115.0,-110.0,-110.0,183.0,-215.0,-115.0,-105.0,-114,-112,185,-235,-110,-115
NBA,2025-11-09 01:32:50,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113
NBA,2025-11-09 01:32:50,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110
NBA,2025-11-09 01:32:50,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,-220,175,-112,-114
